Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2988000,1.293024,0.046259966,193.42857142857142,0.041052192,0.016471183,0.00029821074,0.19940358,0.0009940956,-2.0193428759063994,-2.0193428759063994,1.0
3000000,1.291223,-0.040303014,333.0,0.04207033,0.018182432,0.00029820346,0.19940114,0.0009940712,-2.033300024767717,-2.033300024767717,1.0
3012000,1.2908865,-0.075247645,428.14285714285717,0.04371323,0.021170827,0.00029819622,0.19939874,0.0009940475,-2.042814316494124,-2.042814316494124,1.0
3024000,1.288234,0.15570629,555.0823529411765,0.4456976,0.015295349,0.00029818885,0.19939628,0.0009940232,1.8974329433896961,1.8974329433896961,1.0
3036000,1.2887002,0.6245941,260.0,0.12486573,0.015791843,0.00029818175,0.19939391,0.0009939998,-0.6941832676529884,-0.6941832676529884,1.0
3048000,1.289207,0.31216067,398.3,0.111466624,0.01600733,0.00029817483,0.1993916,0.000993977,0.18249999235073724,0.18249999235073724,1.0
3060000,1.2879195,0.16547407,428.6,0.06671072,0.012566405,0.0002981679,0.1993893,0.0009939541,-0.5411749454215169,-0.5411749454215169,1.0
3072000,1.2855203,0.17269444,514.65625,0.22413154,0.01662134,0.00029816056,0.19938685,0.0009939299,1.5988596628109615,1.5988596628109615,1.0
3084000,1.285285,0.3602761,440.4761904761905,0.15466206,0.016062707,0.00029815277,0.19938426,0.0009939042,1.1257344903103237,1.1257344903103237,1.0
3096000,1.2850724,0.30600026,433.85714285714283,0.046536263,0.02086893,0.00029814595,0.19938199,0.0009938817,1.284999992698431,1.284999992698431,1.0
3108000,1.2847184,0.20811403,455.14285714285717,0.08390158,0.014538205,0.0002981391,0.1993797,0.000993859,0.7765882611274719,0.7765882611274719,1.0
3120000,1.2842551,0.16135226,513.1666666666666,0.08369366,0.018504245,0.00029813178,0.19937727,0.0009938348,1.4705080258846284,1.4705080258846284,1.0
3132000,1.2847985,0.3450464,530.7826086956521,0.23207566,0.018982634,0.00029812468,0.19937488,0.0009938115,1.8685921718384706,1.8685921718384706,1.0
3144000,1.2861108,0.4041307,399.9166666666667,0.076175354,0.017014414,0.00029811726,0.19937241,0.0009937868,0.6234222369061576,0.6234222369061576,1.0
3156000,1.2861913,0.26903054,483.6875,0.09124417,0.024248451,0.0002981103,0.1993701,0.000993764,1.01317059117205,1.01317059117205,1.0
3168000,1.285941,0.1866354,496.4,0.08207713,0.012258039,0.00029810288,0.19936763,0.0009937396,1.3355230958415911,1.3355230958415911,1.0
3180000,1.2854625,0.29629737,515.26,0.207829,0.013683091,0.0002980957,0.19936523,0.0009937158,1.797813224764365,1.797813224764365,1.0
3192000,1.2856512,0.38839856,490.0625,0.080524586,0.013123698,0.00029808868,0.1993629,0.0009936927,1.2838166741033394,1.2838166741033394,1.0
3204000,1.285722,0.27905396,447.4761904761905,0.09071864,0.012206384,0.00029808094,0.1993603,0.0009936669,1.2468000049976742,1.2468000049976742,1.0
3216000,1.2854147,0.18184327,467.6875,0.0998587,0.013216656,0.00029807392,0.19935799,0.0009936439,0.271857902799782,0.271857902799782,1.0
3228000,1.2843746,0.24048524,480.38,0.20594393,0.015403987,0.00029806682,0.1993556,0.0009936206,1.4410383151249682,1.4410383151249682,1.0
3240000,1.2839689,0.29447973,477.6,0.1289044,0.014941371,0.00029805957,0.19935319,0.0009935966,1.225486382842064,1.225486382842064,1.0
3252000,1.2831084,0.19825445,415.0,0.11719602,0.017972616,0.0002980523,0.19935076,0.0009935724,0.07707649294067831,0.07707649294067831,1.0
3264000,1.2823107,0.17251322,441.8,0.113470316,0.016691135,0.0002980452,0.19934842,0.0009935492,0.9114608819717946,0.9114608819717946,1.0
3276000,1.2807037,0.21204749,475.1707317073171,0.18749285,0.019669127,0.0002980376,0.19934586,0.000993524,1.5204864949793429,1.5204864949793429,1.0
3288000,1.2808846,0.34030357,467.3809523809524,0.10991406,0.018398995,0.00029803076,0.19934356,0.0009935015,1.6037304446749066,1.6037304446749066,1.0
3300000,1.2817146,0.29588756,446.94736842105266,0.10699154,0.016522652,0.00029802392,0.1993413,0.0009934789,0.813204753611769,0.813204753611769,1.0
3312000,1.2810031,0.22325781,477.36,0.117523566,0.01924437,0.00029801668,0.1993389,0.0009934551,1.4068136601285501,1.4068136601285501,1.0
3324000,1.2811344,0.24251713,474.7631578947368,0.1446943,0.01329465,0.000298009,0.19933634,0.0009934297,1.2254939487937726,1.2254939487937726,1.0
