Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
940000,1.1086323,0.0029999441,-1.0136841713990037,807.9473684210526,-0.1391083,-1.0035292783423382
950000,1.1075226,0.0029999434,-1.1019999641925096,701.2,-0.13145892,-1.101666550617665
960000,1.1085843,0.0029999425,-1.0663635962727396,830.4545454545455,-0.14665201,-1.0663635204122826
970000,1.1012433,0.0029999423,-1.114285673413958,811.5714285714286,-0.1378382,-1.1142855946506773
980000,1.094218,0.0029999411,-0.9283332920943698,785.5,-0.1755118,-0.9283331741268436
990000,1.0943152,0.0029999404,-0.985999957844615,806.2,-0.1903908,-0.9859998300671577
1000000,1.0975544,0.0029999402,-0.9599999537070593,990.8888888888889,-0.21583304,-0.9599998527103
1010000,1.09345,0.0029999395,-1.4599999499817689,931.8888888888889,-0.21512116,-1.4599997902082071
1020000,1.0900967,0.002999939,-1.4833332834144433,979.1666666666666,-0.24122305,-1.4833331378176808
1030000,1.0900613,0.0029999386,-1.6633332812537749,884.0,-0.27068752,-1.6633331539730232
1040000,1.0846651,0.002999938,-1.7449999386444688,936.3333333333334,-0.27721944,-1.7449998039131362
1050000,1.0880649,0.0029999372,-2.105999941751361,981.8,-0.29000363,-2.1059997763484715
1060000,1.0931758,0.0029999367,-2.184210455143138,1105.4736842105262,-0.28345165,-2.04166645091027
1070000,1.0943868,0.0029999358,-3.4077776804980306,1387.3333333333333,-0.26499933,-3.5419997515156867
1080000,1.0952798,0.0029999353,-1.2733332959314188,596.6,-0.21921466,-1.2733332086354494
1090000,1.0934141,0.0029999353,-2.6731249185977504,1129.625,-0.24039537,-2.6731247697025537
1100000,1.0940113,0.0029999346,-1.5977777308887906,771.7222222222222,-0.1900542,-1.597777609816856
1110000,1.0851512,0.0029999334,-2.309999930587682,942.1818181818181,-0.19962178,-2.3099998096850785
1120000,1.0779009,0.0029999334,-1.513999954983592,759.3,-0.13445719,-1.5139998652040958
1130000,1.0795228,0.0029999323,-0.47249997323378923,592.45,-0.13801971,-0.4724999226629734
1140000,1.0746964,0.0029999318,-0.6294736595530259,531.5263157894736,-0.12595657,-0.6294736313192468
1150000,1.0631921,0.0029999313,-0.2957894482502812,534.0,-0.110653035,-0.29578942031060396
